audiocap_id,youtube_id,start_time,caption,video_Caption
103054,0_ogYGDGDco,60,"A boat is traveling while water is splashing with wind noise, and a man is speaking on a two-way radio","The video shows a kayak moving through rough waters in the ocean. The camera is positioned at the back of the kayak, and we can see the water splashing around the kayak. "
3988,0a9wVat2PWk,230,Train horn sounds as it moves along tracks,The video shows a series of images of a train traveling through a forest. The images are captured from different angles and show different parts of the train and the surrounding environment. 
4210,0fMXnvD38zI,50,Water flows and wind flows with seagulls in the distance,"In this video, we see a large sailing ship on the water. The ship is sailing in the ocean with other sailing ships. The sky is cloudy, and the water is calm. We can see the ship's sails, masts, and rigging. "
103131,0jGH7A_hpBM,30,A man narrating followed by another man speaking then speaking through a television speaker,"In this video, we see a man wearing a suit and tie standing in front of a crowd of people. He is holding a blue bag and appears to be talking to the crowd. The video then shows a man in a military uniform standing in front of a crowd of people. He is also holding a blue bag and appears to be talking to the crowd. The video then shows a man in a suit and tie standing in front of a crowd of people. He is holding a blue bag and appears to be talking to the crowd. The video then shows a man in a suit and tie standing in front of a crowd of people. He is holding a blue bag and appears to be talking to the crowd. The video then shows a man in a suit and tie standing in front of a crowd of people. He is holding a blue bag and appears to be talking to the crowd. Finally, the video shows a man in a suit and tie standing in front of a crowd of people. He is holding a blue bag and appears to be talking to the crowd. "
4626,0qbHT34qTZE,50,A man speaks then a sudden explosion which is followed by smaller explosions and thunder,"In this video, we see a screenshot of a video game. The video shows various objects such as a ship, a video game, a screenshot, and a game. The video also shows different scenes, including a large body of water, a wooden dock, and a large wooden boat. "
103837,0rSETXszQM0,100,Plastic clacking followed by a motorbike and a motorcycle engine starting up then accelerating,"In this video, we see two men standing next to their motorcycles. They are wearing helmets and seem to be preparing for a ride. "
4811,0ury8KHQdL4,480,An adult male is speaking and typing on a keyboard,The video is a screenshot of a game on a computer screen. The game is shown on the screen throughout the video. 
107223,0yETgW44MZU,20,A train horn honking as a train runs on railroad tracks and birds chirping,"In this video, we see a train traveling down the tracks. The train is blue and white and has black smoke coming out of the engine. The video shows the train moving along the tracks, passing by trees and other scenery. "
105724,0yxEvdnimGg,30,Dogs barking and muffled speech,"In this video, we see a dog running around a field and chasing after a ball. The dog continues to run around the field, and we see a person walking in the field. "
103217,11SEBDuoqSk,50,An engine chugging loudly together with gunfire,"In this video, we see a small plane flying in the sky. The video lasts for 8 seconds, and the plane is visible throughout the video. "
104800,13CBvjHZhOA,29,Knocking sounds as race cars pass by,"In this video, we see a person driving a car with a green helmet on. The video lasts for 8 seconds, and we see the person driving the car throughout the video. "
102858,14ekd4nkpwc,28,Baby crying and person tapping his mouth,"In this video, we see a baby crying in the arms of a man. The baby is wearing a blue shirt and has black hair. The man is holding the baby in his arms and appears to be trying to soothe the baby. "
5211,14izd_i3ryE,30,"Wind rushes by, a motorcycle sounds, a man speaks","In this video, we see a man riding a horse-drawn carriage down a street. The video shows the carriage moving along the street, passing by other vehicles and people. "
5548,1DKLyH3FixM,100,Birds are chirping,"In this video, we see a cartoon of a young boy walking through a forest. He is wearing a blue shirt and is walking on a path. We can see trees and bushes in the background. "
106329,1FNJbN-eHY4,30,A crowd murmuring with several belches followed by laughter,"The video shows a group of women gathered around a table, laughing and drinking soda. They are also playing a game where they try to drink from a straw without using their hands. "
106238,1GgEpRZDWN0,410,Female and male are having conversation,"In this video, we see a man and a woman sitting in chairs and talking to each other. They are in a kitchen, and there is a small dog on the man's lap. The man is wearing a yellow shirt, and the woman is wearing a white shirt. They seem to be having a conversation while the dog is sitting on the man's lap. "
103088,1HCuBnPLMqQ,380,Trickling water sounds with breathing in the background,"In this video, a man is seen standing next to a beehive, and he is holding a yellow bucket. He is also wearing a blue shirt and blue jeans. The video lasts for 8 seconds, and it shows the man standing in front of the beehive. "
106643,1IoHRTUp86c,70,An aircraft engine humming as a woman speaks over an intercom followed by an aircraft engine accelerating,"In this video, we see a person flying over a field in an airplane. The video shows different angles of the field and the airplane, with the sky and clouds visible in the background. "
5873,1L_OyngNZMA,30,"A man speaks into an echoing, a crowd laughs and cheers","In the video, a man is playing a guitar on stage while singing. He is accompanied by other men who are also singing and playing guitars. The crowd is cheering and clapping for them. "
107002,1N_DtRpdAp8,6,Clicking and humming of a revving idling engine,"In this video, we see a close-up shot of a car engine with a fuel pump. The camera focuses on the fuel pump, and we can see the engine and other parts of the car in the background. "
105423,1Og2TJ3bXW0,20,An aircraft engine running then slowing down after a plastic click,"In this video, we see a series of images of an airport runway and tarmac. The video starts with a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac in the background. The video then shows a view of the runway from the window of an airplane. We can see the wing of the airplane and the runway in the background. The video then shows a view of the tarmac from the window of an airplane. We can see the wing of the airplane and the tarmac"
6046,1PvMtRIlZNI,0,Water gurgling,"In this video, we see a person washing their hands in a sink. The video lasts for 8 seconds, and we can see the person's hand moving around in the sink. "
103099,1QNLMF-Kl_s,30,A woman delivering a speech,"In this video, we see a woman making a funny face at the camera. She is wearing a black and white shirt and has long blonde hair. She is standing in front of a wooden door with a silver handle. "
6223,1Uh74_rZ72k,30,Wind is blowing and water gurgles,The video shows a person riding down a blue water slide in an amusement park. The person is seen going down the slide and passing through a green tunnel. 
104745,1WTSW96XP6E,180,A man is speaking followed by a tap and motorcycle turning on,"In this video, we see a close-up shot of a motorcycle with a person's hand on the handlebars. The camera then zooms in on the motorcycle, and we see a person's hand on the handlebars again. This happens a few times throughout the video. "
106783,1_z6NcidGzM,30,Various speech and a whistle blown and water splashing,"In this video, we see a woman swimming in a pool. She is seen swimming underwater and then comes up to the surface. "
105572,1a2XWJ8NA_Q,30,An engine running and wind blowing with people talking,"In this video, we see a group of people on a boat, with a woman in a bikini dancing on the back of the boat. The camera pans around to show the people on the boat and the scenery around them. "
106757,1e98HeU9Vrg,20,Waves and wind rake a shore,"In this video, we see a bottle of water on the beach near the ocean. The video shows the bottle from different angles and distances, and we can see the waves of the ocean in the background. "
104420,1ed87LLY97k,30,Hissing with some faint bangs,"In this video, we see a bedroom with a bed, a lamp, and a ceiling fan. The camera is focused on the bed, and we can see a white cat lying on it. The room is dimly lit, and the ceiling fan is rotating slowly. "
104625,1j5NMuq1X30,30,A motor engine humming as liquid sprays and music plays in the background,"In this video, a man is seen spraying down a wall inside a house. He continues to spray the wall while kneeling down. "
106668,1nUOGZgSzZo,30,Wind blowing and water splashing,"In this video, a person is seen inside a large hamster ball, rolling around in a pool. The person continues to roll around in the ball while the camera captures their movements. "
104655,1slvoNgzBLE,160,A subway train signal plays followed by a bell chiming followed by a horn honking as a crowd of people talk in the background,"In this video, we see a train stopped at a station. We can see the train, the station, and people walking on the platform. "
7294,1vCYiVvZ7VE,30,A woman is giving a speech,"In this video, we see a woman standing in front of a television screen. The television screen displays various images and signs, including a red and white sign, a red and white sign with white letters, and a red and white sign with black letters. The woman is wearing a blue shirt, and she is standing in front of a black wall. "
104554,1wW0YJQ-Xa0,370,A person coughing followed by a series of compressed air sprays as tin and plastic rattle then a man speaking as a crowd of people talk in the background,"In this video, a man is seen spray painting a picture on a canvas. He is using a spray can to create an abstract design on the canvas. "
106931,22L_3pBa1AI,18,A car engine revs as it passes by,"In this video, we see a small car driving down a winding road. The car is white and has a black roof. The road is surrounded by trees and there is a yellow line painted on the road. The car is driving on the road and we can see the road winding through the trees. "
103281,27HIamF8pKo,110,"A train engine is operating, rhythmic vibrating, clacking and clattering are ongoing, and a train whistle blows three times","In this video, we can see a green train on the tracks. The video shows the train moving along the tracks, passing by trees and a green bush. "
103771,2ABngPM3raQ,30,A man talking as music is playing followed by a frog croaking,"In this video, we see a red and black frog sitting on a green leaf. The frog is the main focus of the video, and we see it in different positions and angles. "
107316,2ErfX6ZT5pM,0,A toilet flushes as music plays in the distance,"In this video, we see a toilet in a bathroom. The camera focuses on the toilet, and we can see water swirling around in the bowl. "
102898,2EsxcKe1A4w,28,A dog barks with distant birds chirping then people speak,"In this video, we can see a mailbox with the number 144 on it. The video then shows a person walking on the sidewalk, and later, a person riding a skateboard down the street. "
104352,2JV3emH50XU,0,A vehicle accelerating in the distance then driving by,"In this video, we see a car driving down a road in a forest. The video lasts for 8 seconds, and it shows the car moving through different parts of the forest. "
105862,2JutOgAnqWA,120,A power tool with an electric motor is used for drilling,"In this video, a person is using a drill press to drill a hole in a metal bracket. They are holding the bracket in place with one hand while using the other hand to guide the drill bit. "
105657,2KEfkDO6hlA,30,Several motor vehicles accelerating,"In this video, we see a car driving down a road with a person in the driver's seat. The video shows different scenes of the car driving on the road, passing by other cars and objects. "
104146,2KR0C5ysO8o,30,"A mid-size motor vehicle engine accelerates and is accompanied by hissing and spinning tires, then it decelerates and an adult male begins to speak","In this video, we see a car driving through a muddy path in the woods. The car is surrounded by trees, and the path is covered in mud. The car is driving slowly, and we can see the wheels spinning as it moves forward. "
105462,2RjqBRzmxaM,30,"A female speech, music and rainfall","In this video, we see a car driving down a street at night. The video lasts for 8 seconds, and we see different objects and scenes in each second of the video. "
8690,2UNuMbxz9ds,22,A vehicle engine is revving up,"In this video, we see a black car driving in a parking lot and then driving on the street. The car is seen from different angles, and we also see a yellow car and a white van in the background. "
106242,2a6GNu6uCDE,30,A woman talking in an auditorium,"In this video, we see a woman standing on a stage in front of a large screen. She is wearing a red shirt and a black and white skirt. The woman is standing still and appears to be giving a presentation or speech. "
106637,2ceUOv8A3FE,20,Honking of horns of an oncoming train,"In this video, we see a train traveling down the tracks. We can see the train moving from left to right in the video. "
103222,2j8pxiFvElM,0,A cat meowing twice,"In this video, we see a white cat with blue eyes lying on a bed and looking at the camera. Then, we see the same cat on the ground, followed by a white cat with a blue nose on the ground. After that, we see a white cat with a blue nose on the ground again, followed by a white cat with a blue nose on the ground. Finally, we see a white cat with a blue nose on the ground again. "
105062,2msevPMQB4M,10,A drilling sound with humming in the background,"The video shows a machine cutting a piece of wood. The machine is shown in different frames, and the wood is being cut in various ways. "
106870,2sZhC_mKeic,30,A car meows and a woman speaks,"In this video, we see a cat sitting on a windowsill, looking out of the window. The cat then jumps up on the windowsill and looks out of the window again. "
102919,2t82STv2GR8,110,Several church bells ringing,"The video shows a church with a bell inside. The bell is seen hanging from a wooden structure, and it is rung several times throughout the video. "
105824,2ymiXjImwGs,9,A fire siren with people talking,"The video shows a busy street with cars, buses, and people walking on the sidewalk. The camera captures different angles of the street, showing the movement of vehicles and pedestrians. "
102971,30D1tqNFHMc,30,A loud engine roars followed by four loud beeps.,"In this video, we see a forest with trees and leaves blowing in the wind. The camera then pans to a road in the woods, and we see a truck driving down the road. "
10037,32565FEuksc,30,A woman gives a speech and a crowd claps,"In this video, we see a woman standing at a podium and giving a speech. She is wearing a pink shirt and holding a microphone. The video lasts for 8 seconds, and we see the woman speaking at the podium throughout the video. "
106185,350OCezayrk,30,An engine being turned over and then started,"In this video, we can see a car with its hood open. The video shows the engine of the car, and we can see different parts of the engine, such as the radiator, the fan, and the battery. "
106653,35b9BSmN5JM,1,A wooden thud as an idle car engine runs then accelerates,"The video shows a car with its hood open, revealing the engine. The camera focuses on the engine and the hood of the car. "
103114,3IScngdQA4I,8,Some groaning followed by a woman speaking,"In this video, a woman is seen standing in front of a red wall, smiling and brushing her teeth. She then walks towards a group of people and continues to brush her teeth while laughing. "
105882,3MoF8myFs8Y,0,Ocean waves crashing as a man talks in the distance and wind heavily blows into a microphone,"In this video, we see a person riding a wakeboard in the ocean. The person is being pulled by a kite and is riding the waves. "
103834,3RultJjvTWI,400,Water splashing with speech and brief laughter,"In this video, we can see a group of people riding in a raft down a river. They pass by a large waterfall and continue on their way. "
11080,3Sml1wHcuxo,40,A train horn goes off loudly,"In this video, we can see a train traveling on a track. The train is red and yellow, and it has a red and yellow engine. The train is moving from left to right, and we can see it passing by a building and a sign. "
106720,3VHpLxtd498,30,Humming with coos of pigeons and brief distant speaking,"In this video, we see a group of white pigeons and a black and white bird walking around on the ground. The video lasts for 8 seconds, and we see the birds moving around and interacting with each other. "
106267,3XcIVh40pTI,10,A few loud snores,"In this video, we see a little girl sleeping peacefully on a bed. She is wearing a brown shirt and has blonde hair. The camera focuses on her face, and we can see her sleeping peacefully. "
107077,3XuyGJqaXv8,16,A man speaks over an intercom as crowd of people talking in the background followed by a dog barking,"In this video, a man is training two dogs to perform a trick. He is holding a box with a treat inside, and the dogs are jumping on his back to get to the treat. "
106445,3ejndVEAcmQ,11,"A cat meows angrily, while speech is faintly present in the background","In this video, a dog and a cat are seen engaging in a playful fight. The cat initially backs away, but then returns to the fray. The dog then walks away, and the cat follows. "
103798,3fomsZXG3aM,3,An engine hums and then revs,"In this video, we see a car engine with a yellow cap on it. The camera focuses on the engine, and we can see the various parts of the engine, including the yellow cap. "
11642,3ghVB-KaU_E,30,Man speaking continuously with hissing in the background,"In this video, we see a series of black backgrounds with white text and a few objects. The objects include a white rock, a white wall, and a white sign with black letters. The text on the signs is not always clear, but we can see the word ""stop"" on one of them. "
103211,3hzy-FL24no,17,A stream of water flowing and trickling as a small motor hum in the background followed by camera muffling,"In this video, we see a small stream of water flowing over rocks and a small waterfall. The water is clear and there are rocks and plants in the water. We also see a person's hand and arm in the water at one point. "
11905,3ndid3jni7M,40,"A main horn honks, a train passes by","In this video, we see a train crossing a railroad crossing. The video lasts for 8 seconds, and it shows the train moving from left to right across the crossing. "
105203,3qTL7QRk-tg,30,Men are singing together with a gurgling background noise,"In this video, a group of men are standing together and posing for a picture. They are wearing yellow shirts and holding a flag. They are also holding drinks and standing in front of a building. "
105383,3qrVku794u0,12,A man talking before and after a young kid talks as plastic rattles followed by an electronic beep,"In this video, a person is seen opening a microwave and removing a plate of food. They then proceed to eat the food. "
105626,3rna9zo5ZOs,30,Male speaking with many people cheering in background,"In this video, we see a large crowd of people wearing yellow hats. The video is 8 seconds long and shows different scenes of the crowd. "
12194,3ue0gJM0THk,30,A motor is revving up,"In this video, we see a person using a machine to cut a piece of wood. The machine is a circular saw, and the person is holding the wood with one hand while using the other hand to guide the saw. "
107043,3wV3ST-c4PE,30,"Ticking is ongoing, and slight rustling occurs","In this video, we see a wooden cabinet with a mirror and a lamp inside. The video shows different angles of the cabinet and its contents. "
12262,3wrdPAeqjVI,80,Man speaking then a faint clicking noise,"In this video, we see a black tube on a table, and then we see a black vase on the same table. Later, we see a black vase on a wooden table, and then we see a black vase on a table again. Finally, we see a black vase on a wooden table. "
12277,3xDZ-kdGE3o,10,Footsteps then a toilet flushing,"In this video, we see a person walking into a bathroom and using the toilet. They flush the toilet and walk away. "
106376,40cuHrYfaqA,0,Dogs barking and growling followed by a man talking,"In this video, two rottweilers are seen playing and fighting with each other in a yard. They are seen running around and engaging in playful behavior. "
12461,41D0yXSBqfI,30,A bird is cooing and flapping its wings,"In this video, we see a black bird sitting on a nest. The bird is seen sitting on the nest in the first few seconds of the video. "
105466,466ucPGoNSQ,29,A cat meowing and whining,"In this video, we see a cat looking out a window at a house. The cat is sitting on a windowsill and appears to be observing the house. "
12652,473wBEwC35M,30,A man is talking some traffic noise in the background,"In this video, we see a man holding a sign in front of a crowd of people. The scene is outdoors, and there are several other people in the background. The man is wearing a pink shirt, and he is holding a white sign with black lettering. "
107400,4CAMv5nlr-0,30,"In an echoing space, an older man speaks loudly, followed by enthusiastic applause","In this video, we see a man wearing a suit and tie raising his hand in the air. He is standing in front of a crowd of people. "
106235,4IeDBwyQ9ZQ,190,A tin can rattling followed by a woman talking,"In this video, we see a person sitting in a chair and looking at their phone. They then stand up and walk to a computer. "
105573,4KObP7cREWw,40,An engine revving,"In this video, we see a man driving a green car, and the camera captures the car from different angles. The video also shows the engine of the car. "
105119,4SZ7JXDCNps,210,Plastic rattling as a vehicle engine accelerates,"In this video, we see a man driving a car while wearing a helmet. He is accompanied by a passenger who is also wearing a helmet. The video shows the man driving the car while the passenger sits in the passenger seat. "
107373,4UPOUGVMlEs,30,A boar snorting as dogs growl and heavily breathe while footsteps shuffle on foliage and crickets chirp in the background,"In this video, a man is seen interacting with a pig and a dog in a river. The man is shown pulling the pig out of the water, and later, he is seen petting the pig while the dog stands nearby. "
13482,4Ujigme2IxY,30,"A motor vehicle is running and vibrating, and a high-pitched squeal occurs",The video shows a person driving a car and adjusting the radio. The camera focuses on the dashboard and the person's hand on the steering wheel. 
105072,4YMXgLFcR94,30,A man speaks followed by applause,"In this video, we see a man standing at a podium in front of a flag. He is wearing a suit and tie and appears to be giving a speech. There are also several objects in the scene, including a wooden table, a black microphone, and a white tablecloth. "
13642,4YodC6RnplI,70,"A female laughs, snoring occurs, and an adult male speaks in the background","In this video, we see a series of black and white photos of a person in a dark room. The photos are shown in temporal order, and each photo has a caption describing what is happening in the photo. "
103995,4_DjmCg8Ra8,30,Loud bursts and pops with men speaking,"In this video, we see a man standing on top of a hill, overlooking a city. He is wearing a red shirt and a black hat. The video shows the city from different angles, and we can see a lot of smoke in the air. "
102768,4abZbau8tZo,14,An engine idling and ticking with distant traffic and a man speaking,The video shows a house by the ocean with dark clouds in the sky. The camera captures the house and the ocean in the background. 
107159,4eyY1w2QyM0,6,Waves crash against a shore,The video shows a person walking along a sandy beach with waves coming in from the ocean. The person is walking towards the water and eventually runs into the waves. 
104327,4ftDFi4684Y,30,Footsteps shuffling followed by a wooden door softly opening then a clock ticking,"In this video, we see a person opening a wooden cabinet door and then opening a drawer. The video shows a wooden cabinet with a drawer and a door, and we see the person interacting with these objects. "
102955,4fz0-Kx2oNs,250,A continuous sizzling with oil popping,"In this video, we can see a frying pan with bacon cooking on a stove. The bacon is being cooked in oil, and we can see it sizzling as it cooks. "
104481,4lv9aLXtud0,0,A man shouting before and after someone belching,"In this video, we see a woman standing in front of a window. She appears to be looking out the window, and we can see some objects in the background, such as a white plate with food on it, a silver fork, and a white tablecloth. "
104430,4pf-PIymDhU,20,A jackhammer drilling and vibrating continuously,"In this video, a man is using a jackhammer to break up concrete on the ground. He is wearing a black shirt and blue jeans. There is a black car parked behind him. "
104241,4pv3w--cRrA,16,A machine makes a constant rumbling noise,"The video shows a train set on a wooden floor. The train moves along the tracks, and there are different types of toys and objects in the background. "
14424,4s2rRnu2PZo,30,"Loud metal/rock music plays, with gunshots heard in the background","In this video, we see a man wearing a red shirt and sunglasses standing in front of a neon sign. He is holding a cell phone in his hand. The video lasts for 8 seconds, and we see the man in different positions and angles. "
106246,4sb9jN0SgTM,26,An engine revving and then male speech,"In this video, we see a man driving a car on a cobblestone street. He is wearing a blue shirt and is seen driving the car. The video lasts for 8 seconds. "
106926,4xrL4TSgHwU,30,A vehicle engine starting up then running idle,"In this video, we see a man working on a car engine. He is wearing a blue shirt and is using a wrench to work on the engine. We can see the engine and other parts of the car, such as the hood and the steering wheel. "
14808,52IxrdTxGs4,30,"A large explosion and a heartbeat, a person speaks","The video shows a screenshot of a Minecraft game. The scene is a snowy landscape with trees and a blue sky. The video lasts for 8 seconds, and the content is described in temporal order with each frame caption, object names, and object descriptions with specific locations and sizes. "
103597,54eRRbCtPn8,30,A woman is speaking,"In this video, we see a woman wearing a pink shirt standing in front of a blue background. She is making different facial expressions throughout the video. "
107081,59VP93Tzjmg,40,Distant honks of a train horn with leaves rustling,"In this video, we see a train moving along the tracks in a forest. The video lasts for 8 seconds, and we can see the train moving from left to right. "
105284,5G6b_QWL3nY,60,A woman talking as food and oil sizzles followed by water gurgling,"In this video, we see a person preparing a meal. They start by cutting up vegetables and cooking them in a pot. Then, they add ground beef and continue to cook the mixture. Finally, they serve the dish on a plate. "
105468,5I8lmN8rwDM,140,A machine motor buzzing and humming,"The video shows a series of close-up shots of various objects, including a sink, a toilet, a bathtub, and a toilet bowl. The objects are shown in different states, such as being dirty, wet, or covered in water. "
15458,5K1mISHwggI,30,"A person speaks, traffic passes by","In this video, we see a person using a wrench to fix a tire on a car. The person is seen working on the tire throughout the video. "
15622,5OM3tJh51pE,30,A woman giving a speech,"In this video, we see a woman standing on a stage holding a trophy. She is wearing a blue dress and is holding a microphone. The stage is decorated with a large screen and a sign that says ""The Lion King"". The woman is standing in front of a large window and there is a black microphone on a stand next to her. "
15624,5ORpSk5CIWc,140,"A small motor is running and fades, and vibration is present","In this video, we see a man standing in a field and looking up at the sky. He is wearing a blue shirt and a hat. The sky is blue with white clouds, and there is a large mountain in the background. The man is standing on a hill, and there is a white house on the hill. The grass is green, and there are trees in the background. "
